"from","to","dataset","variable","filtername","min","max","flag","flagging_date","flagged_by"
"2011-12-30 15:30:00","2013-01-13 22:00:00","SaSoil2002","Dsn","minmaxmanual",0.65510454273901,1.2739295620648,6,"2017-06-06 15:53:47","SL"
"2012-02-01 17:30:00","2012-02-02 03:30:00","SaSoil2002","Dsn","minmaxmanual",0.12607060860488,0.17988147041009,6,"2017-06-07 10:59:00","SL"
"2012-02-06 01:30:00","2012-02-06 10:00:00","SaSoil2002","Dsn","minmaxmanual",0.14221386714645,0.24983559075687,6,"2017-06-07 10:59:09","SL"
"2012-03-06 14:00:00","2012-03-07 02:30:00","SaSoil2002","Dsn","minmaxmanual",0.10723680697306,0.14624968178184,6,"2017-06-07 10:59:33","SL"
"2012-03-16 06:30:00","2012-03-19 14:00:00","SaSoil2002","Dsn","minmaxmanual",0.11380203783952,0.17568452891551,6,"2017-06-07 10:59:45","SL"
"2012-04-22 11:00:00","2012-04-23 08:00:00","SaSoil2002","Dsn","minmaxmanual",0.083021919160715,0.13414223787567,6,"2017-06-07 11:00:18","SL"
"2012-04-17 08:00:00","2012-04-18 12:00:00","SaSoil2002","Dsn","minmaxmanual",0.15835712568801,0.21216798749322,6,"2017-06-07 11:00:26","SL"
"2012-04-28 06:30:00","2012-04-28 14:00:00","SaSoil2002","Dsn","minmaxmanual",0.11396316469871,0.14355913869158,6,"2017-06-07 11:00:31","SL"
"2012-04-30 19:00:00","2012-05-01 20:00:00","SaSoil2002","Dsn","minmaxmanual",0.16508348341366,0.21216798749322,6,"2017-06-07 11:00:35","SL"
"2012-05-15 10:00:00","2012-05-16 05:00:00","SaSoil2002","Dsn","minmaxmanual",0.073605018344802,0.11396316469871,6,"2017-06-07 11:00:56","SL"
"2012-05-31 15:30:00","2012-06-01 04:00:00","SaSoil2002","Dsn","minmaxmanual",-0.044778877626665,-0.02594507599484,6,"2017-06-07 11:01:05","SL"
"2012-11-07 04:30:00","2012-11-08 01:30:00","SaSoil2002","Dsn","minmaxmanual",0.12068952242436,0.16642875495879,6,"2017-06-07 11:01:39","SL"
"2012-11-28 19:30:00","2012-12-01 01:00:00","SaSoil2002","Dsn","minmaxmanual",0.19602472895166,0.30633699565235,6,"2017-06-07 11:01:46","SL"
"2012-12-21 03:00:00","2012-12-22 04:00:00","SaSoil2002","Dsn","minmaxmanual",0.10363193782145,0.14533535572049,6,"2017-06-07 11:02:14","SL"
"2012-12-16 16:00:00","2012-12-16 23:30:00","SaSoil2002","Dsn","minmaxmanual",0.074138483679927,0.086647152435328,6,"2017-06-07 11:54:42","SL"
"2012-12-13 13:00:00","2012-12-13 19:00:00","SaSoil2002","Dsn","minmaxmanual",0.13876660558283,0.16795349934543,6,"2017-06-07 11:54:49","SL"
"2012-12-14 20:30:00","2012-12-17 11:00:00","SaSoil2002","Dsn","minmaxmanual",0.15648721965298,0.23153923218538,6,"2017-06-07 11:55:02","SL"
"2012-05-04 06:30:00","2012-05-25 16:30:00","SaMet2002","prec","minmaxmanual",0.048003807082704,1.2607362092501,6,"2018-02-06 14:09:07","NB (snowmelt)"
"2011-12-26 08:00:00","2013-01-16 17:30:00","SaSoil2002","Dsn","minmaxmanual",0.76104537195502,1.2753865848743,6,"2018-02-08 10:45:11","SL"
"2012-07-18 05:30:00","2012-08-31 09:30:00","SaMet2002","wind_deg_300","minmaxmanual",-4.5531906045312,2.7485242429325,6,"2018-02-08 11:52:00","SL"
"2012-02-26 15:30:00","2012-03-05 15:30:00","SaMet2002","wind_deg_300","minmaxmanual",-12.597580292452,87.451120782869,6,"2018-02-08 11:56:44","SL"
"2012-02-26 15:30:00","2012-03-05 15:30:00","SaMet2002","wind_v_300","minmaxmanual",-12.597580292452,87.451120782869,6,"2018-02-08 11:56:44","SL"
"2012-09-30 13:00:00","2012-10-02 17:30:00","SaMet2002","prec","minmaxmanual",0.032272787269109,0.63345082834354,6,"2018-03-01 14:51:57","PS (snowfall)"
"2012-02-07 15:00:00","2012-03-17 10:30:00","SaMet2002","Tair_a_200","minmaxmanual",-45.536033400607,-39.5,6,"2018-03-13 18:31:08","PS (sensor limit)"
